Blade section properties
48	n_secs:	number of blade or tower sections at which properties are specified (-)

sec_loc	str_tw	tw_iner	mass_den	flp_iner	edge_iner	flp_stff	edge_stff	tor_stff	axial_stff	cg_offst	sc_offst	tc_offst
(-)	(deg)	(deg)	(kg/m)		(kg-m)		(kg-m)		(Nm^2)		(Nm^2)		(Nm^2)		(N)		(m)		(m)		(m)
0.78374	  2.116	  2.116	 129.56		    0.17	   16.37	7.63E+07	7.10E+08	1.79E+07	1.68E+09	5.40E-01	1.81E-01	0.00E+00
0.81626	  1.730	  1.730	 107.26		    0.11	   12.68	6.10E+07	5.18E+08	1.29E+07	1.39E+09	5.16E-01	1.86E-01	0.00E+00
0.84878	  1.342	  1.342	  98.78		    0.09	   10.54	4.95E+07	4.55E+08	1.13E+07	1.28E+09	4.92E-01	1.89E-01	0.00E+00
0.88130	  0.954	  0.954	  90.25		    0.08	    8.62	3.94E+07	3.95E+08	9.83E+06	1.17E+09	4.68E-01	1.92E-01	0.00E+00
0.89756	  0.760	  0.760	  83.00		    0.06	    7.58	3.47E+07	3.54E+08	8.65E+06	1.08E+09	4.54E-01	1.91E-01	0.00E+00
0.91382	  0.574	  0.574	  72.91		    0.05	    6.25	3.04E+07	3.05E+08	7.39E+06	9.48E+08	4.37E-01	1.90E-01	0.00E+00
0.93008	  0.404	  0.404	  68.77		    0.04	    5.53	2.65E+07	2.81E+08	6.71E+06	8.94E+08	4.21E-01	1.88E-01	0.00E+00
0.93821	  0.319	  0.319	  66.26		    0.03	    4.93	2.38E+07	2.62E+08	6.17E+06	8.61E+08	4.03E-01	1.82E-01	0.00E+00
0.94634	  0.253	  0.253	  59.34		    0.02	    3.86	1.96E+07	1.59E+08	3.89E+06	7.71E+08	3.78E-01	1.74E-01	0.00E+00
0.95447	  0.216	  0.216	  55.91		    0.02	    3.16	1.60E+07	1.38E+08	3.38E+06	7.27E+08	3.54E-01	1.65E-01	0.00E+00
0.96260	  0.178	  0.178	  52.48		    0.02	    2.55	1.28E+07	1.19E+08	2.90E+06	6.82E+08	3.29E-01	1.55E-01	0.00E+00
0.97073	  0.140	  0.140	  49.11		    0.02	    2.04	1.01E+07	1.02E+08	2.47E+06	6.38E+08	3.05E-01	1.46E-01	0.00E+00
0.97886	  0.101	  0.101	  45.82		    0.01	    1.61	7.55E+06	8.51E+07	2.05E+06	5.96E+08	2.81E-01	1.36E-01	0.00E+00
0.98699	  0.062	  0.062	  41.67		    0.01	    1.22	4.60E+06	6.43E+07	1.52E+06	5.42E+08	2.56E-01	1.26E-01	0.00E+00
0.99512	  0.023	  0.023	  11.45		    0.00	    0.28	2.50E+05	6.61E+06	1.52E+05	1.49E+08	2.32E-01	1.15E-01	0.00E+00
1.00000	  0.000	  0.000	  10.32		    0.00	    0.22	1.70E+05	5.01E+06	1.15E+05	1.34E+08	2.17E-01	1.09E-01	0.00E+00
