Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 20-Sep-2022 at 15:19:45.
Created 20-Sep-2022 15:19:45.                                                                      
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.67987E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.8500	 0.000813	 0.109315	-0.012912	 0.124475	 0.008139
 0.8750	 	 	 	 	-0.065040
 0.9000	 0.004835	 0.028883	-0.002422	 0.292219	-0.111151
 0.9250	 	 	 	 	-0.126969
 0.9500	 0.001056	-0.170858	 0.015130	 0.406463	-0.104007
 0.9750	 	 	 	 	 0.008335
 1.0000	-0.013452	-0.344610	 0.037247	 0.469504	 0.065815


 -------- Mode No.  12  (freq = 0.21514E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.001457
 0.0500	-0.000079	-0.002885	-0.000406	-0.015705	 0.002890
 0.0750	 	 	 	 	 0.005498
 0.1000	-0.000349	-0.007412	-0.001421	-0.024602	 0.007945
 0.1250	 	 	 	 	 0.012523
 0.1500	-0.000838	-0.011518	-0.002391	-0.013447	 0.016379
 0.1750	 	 	 	 	 0.020190
 0.2000	-0.001383	-0.009945	-0.002495	 0.010060	 0.022102
 0.2250	 	 	 	 	 0.022052
 0.2500	-0.001592	 0.001376	-0.001473	 0.031846	 0.014162
 0.2750	 	 	 	 	-0.014250
 0.3000	-0.001203	 0.012679	 0.000280	 0.039379	-0.050684
 0.3250	 	 	 	 	-0.093527
 0.3500	-0.000499	 0.013482	 0.001938	 0.028155	-0.131690
 0.3750	 	 	 	 	-0.162432
 0.4000	-0.000113	 0.000572	 0.002647	 0.001829	-0.177308
 0.4250	 	 	 	 	-0.175471
 0.4500	-0.000591	-0.019093	 0.001878	-0.030315	-0.158382
 0.4750	 	 	 	 	-0.127932
 0.5000	-0.001818	-0.026865	-0.000338	-0.055171	-0.094328
 0.5250	 	 	 	 	-0.059520
 0.5500	-0.002655	-0.003276	-0.003266	-0.058696	-0.036701
 0.5750	 	 	 	 	-0.026793
 0.6000	-0.001598	 0.043563	-0.005677	-0.034954	-0.034456
 0.6250	 	 	 	 	-0.059295
 0.6500	 0.001225	 0.059523	-0.006276	 0.012590	-0.084582
 0.6750	 	 	 	 	-0.102226
 0.7000	 0.002691	-0.008011	-0.004339	 0.065099	-0.093524
 0.7250	 	 	 	 	-0.046990
 0.7500	 0.000079	-0.082872	-0.000176	 0.100589	 0.019724
 0.7750	 	 	 	 	 0.109630
 0.8000	-0.003237	-0.030705	 0.004853	 0.097941	 0.168221
 0.8250	 	 	 	 	 0.189660
 0.8500	-0.001199	 0.102681	 0.008159	 0.030178	 0.155051
 0.8750	 	 	 	 	 0.076269
 0.9000	 0.004456	 0.088576	 0.006908	-0.079493	 0.008623
 0.9250	 	 	 	 	-0.030852
 0.9500	 0.003425	-0.129978	 0.000215	-0.181836	-0.007812
 0.9750	 	 	 	 	 0.156392
 1.0000	-0.011140	-0.363482	-0.011096	-0.254048	 0.246129


 -------- Mode No.  13  (freq = 0.21644E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.002125
 0.0500	 0.000213	 0.008014	 0.000044	 0.001638	-0.004215
 0.0750	 	 	 	 	-0.008022
 0.1000	 0.000828	 0.015873	 0.000171	 0.003295	-0.011603
 0.1250	 	 	 	 	-0.018349
 0.1500	 0.001677	 0.017055	 0.000347	 0.003521	-0.024121
 0.1750	 	 	 	 	-0.030059
 0.2000	 0.002309	 0.007566	 0.000475	 0.001441	-0.033490
 0.2250	 	 	 	 	-0.037533
 0.2500	 0.002179	-0.012618	 0.000439	-0.002781	-0.031163
 0.2750	 	 	 	 	-0.001341
 0.3000	 0.001116	-0.028376	 0.000214	-0.005919	 0.039376
 0.3250	 	 	 	 	 0.088150
 0.3500	-0.000299	-0.026026	-0.000083	-0.005565	 0.131140
 0.3750	 	 	 	 	 0.163887
 0.4000	-0.001045	-0.002485	-0.000263	-0.001478	 0.176055
 0.4250	 	 	 	 	 0.165801
 0.4500	-0.000300	 0.030852	-0.000190	 0.004152	 0.135959
 0.4750	 	 	 	 	 0.088478
 0.5000	 0.001744	 0.045938	 0.000111	 0.007178	 0.038238
 0.5250	 	 	 	 	-0.012312
 0.5500	 0.003352	 0.013035	 0.000408	 0.004160	-0.044033
 0.5750	 	 	 	 	-0.054669
 0.6000	 0.002185	-0.057398	 0.000425	-0.003147	-0.037948
 0.6250	 	 	 	 	 0.007817
 0.6500	-0.001794	-0.087835	 0.000127	-0.007666	 0.055777
 0.6750	 	 	 	 	 0.097314
 0.7000	-0.004203	 0.002686	-0.000182	-0.004077	 0.099851
 0.7250	 	 	 	 	 0.049073
 0.7500	-0.000834	 0.113865	-0.000225	 0.001407	-0.035945
 0.7750	 	 	 	 	-0.157894
 0.8000	 0.003928	 0.048624	-0.000140	 0.001147	-0.241111
 0.8250	 	 	 	 	-0.276264
 0.8500	 0.001353	-0.139597	-0.000142	-0.000590	-0.232797
 0.8750	 	 	 	 	-0.126680
 0.9000	-0.006519	-0.125205	-0.000111	 0.002591	-0.034570
 0.9250	 	 	 	 	 0.017426
 0.9500	-0.005096	 0.183611	 0.000152	 0.007347	-0.018635
 0.9750	 	 	 	 	-0.260255
 1.0000	 0.015623	 0.517663	 0.000598	 0.009753	-0.391419


 -------- Mode No.  14  (freq = 0.26835E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.001593
 0.0500	 0.000088	 0.003277	 0.000319	 0.011920	-0.003146
 0.0750	 	 	 	 	-0.005921
 0.1000	 0.000346	 0.006571	 0.001141	 0.020081	-0.008443
 0.1250	 	 	 	 	-0.012918
 0.1500	 0.000670	 0.005830	 0.002142	 0.018636	-0.016354
 0.1750	 	 	 	 	-0.019052
 0.2000	 0.000822	 0.000056	 0.002769	 0.005802	-0.019297
 0.2250	 	 	 	 	-0.010137
 0.2500	 0.000604	-0.007826	 0.002524	-0.015520	 0.006734
 0.2750	 	 	 	 	 0.048817
 0.3000	 0.000209	-0.006136	 0.001291	-0.032955	 0.090917
 0.3250	 	 	 	 	 0.128214
 0.3500	 0.000228	 0.008104	-0.000471	-0.036455	 0.149124
 0.3750	 	 	 	 	 0.151378
 0.4000	 0.001077	 0.024892	-0.001992	-0.023678	 0.135623
 0.4250	 	 	 	 	 0.106730
 0.4500	 0.002420	 0.025660	-0.002577	 0.000269	 0.077581
 0.4750	 	 	 	 	 0.055658
 0.5000	 0.003056	-0.002474	-0.001901	 0.026104	 0.052161
 0.5250	 	 	 	 	 0.071445
 0.5500	 0.001889	-0.040511	-0.000169	 0.042356	 0.107787
 0.5750	 	 	 	 	 0.161784
 0.6000	-0.000247	-0.035983	 0.001983	 0.042528	 0.204925
 0.6250	 	 	 	 	 0.230754
 0.6500	-0.000415	 0.030240	 0.003580	 0.019557	 0.219285
 0.6750	 	 	 	 	 0.165485
 0.7000	 0.002446	 0.065318	 0.003470	-0.024995	 0.100987
 0.7250	 	 	 	 	 0.038560
 0.7500	 0.003572	-0.030693	 0.001023	-0.070256	 0.021592
 0.7750	 	 	 	 	 0.057094
 0.8000	-0.000319	-0.100193	-0.002819	-0.077002	 0.113135
 0.8250	 	 	 	 	 0.163830
 0.8500	-0.002876	 0.014911	-0.005251	-0.014828	 0.140300
 0.8750	 	 	 	 	 0.022503
 0.9000	 0.001152	 0.106946	-0.003532	 0.082115	-0.124825
 0.9250	 	 	 	 	-0.288999
 0.9500	 0.002366	-0.081225	 0.002746	 0.162596	-0.345571
 0.9750	 	 	 	 	-0.266864
 1.0000	-0.011428	-0.363269	 0.012470	 0.212359	-0.189721


 -------- Mode No.  15  (freq = 0.27059E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.001069
 0.0500	 0.000156	 0.005837	-0.000115	-0.004294	-0.002109
 0.0750	 	 	 	 	-0.003964
 0.1000	 0.000583	 0.010678	-0.000401	-0.006903	-0.005635
 0.1250	 	 	 	 	-0.008538
 0.1500	 0.001121	 0.010035	-0.000744	-0.006416	-0.010656
 0.1750	 	 	 	 	-0.012025
 0.2000	 0.001445	 0.002697	-0.000970	-0.002365	-0.011490
 0.2250	 	 	 	 	-0.000898
 0.2500	 0.001281	-0.008571	-0.000913	 0.004839	 0.016067
 0.2750	 	 	 	 	 0.056968
 0.3000	 0.000733	-0.011631	-0.000477	 0.012708	 0.097732
 0.3250	 	 	 	 	 0.134372
 0.3500	 0.000381	-0.001094	 0.000280	 0.017323	 0.155973
 0.3750	 	 	 	 	 0.160421
 0.4000	 0.000759	 0.015666	 0.001107	 0.015174	 0.147516
 0.4250	 	 	 	 	 0.121296
 0.4500	 0.001767	 0.022039	 0.001619	 0.004698	 0.093075
 0.4750	 	 	 	 	 0.069277
 0.5000	 0.002483	 0.004370	 0.001440	-0.011953	 0.060866
 0.5250	 	 	 	 	 0.071588
 0.5500	 0.001890	-0.025597	 0.000469	-0.025954	 0.098667
 0.5750	 	 	 	 	 0.142961
 0.6000	 0.000426	-0.025751	-0.000894	-0.026900	 0.181589
 0.6250	 	 	 	 	 0.210282
 0.6500	 0.000321	 0.022883	-0.001827	-0.009530	 0.209666
 0.6750	 	 	 	 	 0.176656
 0.7000	 0.002499	 0.049507	-0.001627	 0.016508	 0.132303
 0.7250	 	 	 	 	 0.087520
 0.7500	 0.003263	-0.027536	-0.000312	 0.034222	 0.074928
 0.7750	 	 	 	 	 0.099805
 0.8000	-0.000036	-0.084905	 0.001448	 0.034259	 0.137196
 0.8250	 	 	 	 	 0.162044
 0.8500	-0.002353	 0.006087	 0.002541	 0.007059	 0.124514
 0.8750	 	 	 	 	 0.005357
 0.9000	 0.000616	 0.081413	 0.001753	-0.038887	-0.136513
 0.9250	 	 	 	 	-0.297998
 0.9500	 0.001449	-0.066945	-0.001322	-0.080828	-0.364695
 0.9750	 	 	 	 	-0.340102
 1.0000	-0.009638	-0.291405	-0.006205	-0.106888	-0.291864


 -------- Mode No.  16  (freq = 0.30255E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000518
 0.0500	 0.000005	 0.000179	-0.000002	-0.000065	-0.001020
 0.0750	 	 	 	 	-0.001917
 0.1000	 0.000014	 0.000109	-0.000007	-0.000140	-0.002744
 0.1250	 	 	 	 	-0.004296
 0.1500	 0.000004	-0.000613	-0.000016	-0.000257	-0.005662
 0.1750	 	 	 	 	-0.007238
 0.2000	-0.000057	-0.001871	-0.000032	-0.000390	-0.008524
 0.2250	 	 	 	 	-0.013304
 0.2500	-0.000194	-0.003698	-0.000056	-0.000533	-0.017318
 0.2750	 	 	 	 	-0.023986
 0.3000	-0.000412	-0.005002	-0.000083	-0.000549	-0.029852
 0.3250	 	 	 	 	-0.035917
 0.3500	-0.000662	-0.005003	-0.000106	-0.000398	-0.042098
 0.3750	 	 	 	 	-0.049635
 0.4000	-0.000877	-0.003720	-0.000119	-0.000139	-0.058069
 0.4250	 	 	 	 	-0.068385
 0.4500	-0.001019	-0.002290	-0.000120	 0.000053	-0.079331
 0.4750	 	 	 	 	-0.091835
 0.5000	-0.001128	-0.002622	-0.000118	-0.000021	-0.103939
 0.5250	 	 	 	 	-0.116919
 0.5500	-0.001322	-0.005383	-0.000127	-0.000323	-0.128146
 0.5750	 	 	 	 	-0.140233
 0.6000	-0.001651	-0.007401	-0.000147	-0.000417	-0.150586
 0.6250	 	 	 	 	-0.163246
 0.6500	-0.001947	-0.003903	-0.000157	 0.000111	-0.175320
 0.6750	 	 	 	 	-0.190303
 0.7000	-0.001939	 0.003491	-0.000129	 0.000936	-0.202200
 0.7250	 	 	 	 	-0.210344
 0.7500	-0.001683	 0.005881	-0.000073	 0.001257	-0.207827
 0.7750	 	 	 	 	-0.188584
 0.8000	-0.001348	 0.009174	-0.000014	 0.001090	-0.156358
 0.8250	 	 	 	 	-0.096472
 0.8500	-0.000538	 0.024773	 0.000027	 0.000577	-0.034437
 0.8750	 	 	 	 	 0.038440
 0.9000	 0.000994	 0.033057	 0.000033	-0.000389	 0.105606
 0.9250	 	 	 	 	 0.195725
 0.9500	 0.002109	 0.010174	-0.000016	-0.001461	 0.272150
 0.9750	 	 	 	 	 0.446219
 1.0000	 0.001339	-0.026368	-0.000111	-0.002128	 0.516642


 -------- Mode No.  17  (freq = 0.33011E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.003153
 0.0500	 0.000210	 0.007711	 0.000051	 0.001866	-0.006186
 0.0750	 	 	 	 	-0.011489
 0.1000	 0.000752	 0.012885	 0.000182	 0.003103	-0.016132
 0.1250	 	 	 	 	-0.023933
 0.1500	 0.001304	 0.007913	 0.000314	 0.001870	-0.029406
 0.1750	 	 	 	 	-0.032749
 0.2000	 0.001358	-0.005867	 0.000324	-0.001497	-0.031422
 0.2250	 	 	 	 	-0.007934
 0.2500	 0.000676	-0.019203	 0.000156	-0.004716	 0.025387
 0.2750	 	 	 	 	 0.093592
 0.3000	-0.000160	-0.011090	-0.000061	-0.003335	 0.144495
 0.3250	 	 	 	 	 0.165513
 0.3500	-0.000097	 0.013630	-0.000106	 0.001543	 0.146780
 0.3750	 	 	 	 	 0.090920
 0.4000	 0.000996	 0.025654	 0.000066	 0.004581	 0.021221
 0.4250	 	 	 	 	-0.045172
 0.4500	 0.001755	 0.000391	 0.000241	 0.001819	-0.080631
 0.4750	 	 	 	 	-0.077478
 0.5000	 0.000594	-0.043253	 0.000176	-0.003996	-0.039987
 0.5250	 	 	 	 	 0.021988
 0.5500	-0.001717	-0.038216	-0.000072	-0.004765	 0.071369
 0.5750	 	 	 	 	 0.089935
 0.6000	-0.001771	 0.036049	-0.000160	 0.001181	 0.056009
 0.6250	 	 	 	 	-0.037788
 0.6500	 0.001155	 0.059152	-0.000003	 0.003495	-0.131507
 0.6750	 	 	 	 	-0.199950
 0.7000	 0.001226	-0.060912	 0.000016	-0.002776	-0.188511
 0.7250	 	 	 	 	-0.095162
 0.7500	-0.003251	-0.078074	-0.000175	-0.002878	 0.001615
 0.7750	 	 	 	 	 0.050743
 0.8000	-0.002662	 0.098624	-0.000115	 0.004795	-0.006495
 0.8250	 	 	 	 	-0.171781
 0.8500	 0.002958	 0.068786	 0.000150	 0.003961	-0.276383
 0.8750	 	 	 	 	-0.231016
 0.9000	-0.000006	-0.153098	 0.000155	-0.002927	-0.046479
 0.9250	 	 	 	 	 0.246263
 0.9500	-0.004483	 0.040300	-0.000058	-0.005054	 0.377258
 0.9750	 	 	 	 	 0.273267
 1.0000	 0.013394	 0.502769	-0.000333	-0.005897	 0.133193


 -------- Mode No.  18  (freq = 0.39207E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.004226
 0.0500	 0.000016	 0.000683	-0.000739	-0.026898	 0.008232
 0.0750	 	 	 	 	 0.015067
 0.1000	 0.000055	 0.001188	-0.002447	-0.038547	 0.020844
 0.1250	 	 	 	 	 0.030154
 0.1500	 0.000183	 0.004201	-0.003988	-0.019541	 0.036397
 0.1750	 	 	 	 	 0.040004
 0.2000	 0.000492	 0.007697	-0.004005	 0.019712	 0.038724
 0.2250	 	 	 	 	 0.018036
 0.2500	 0.000830	 0.003789	-0.001933	 0.060761	-0.006060
 0.2750	 	 	 	 	-0.041321
 0.3000	 0.000636	-0.012237	 0.001405	 0.068530	-0.049418
 0.3250	 	 	 	 	-0.024398
 0.3500	-0.000261	-0.020627	 0.004033	 0.033540	 0.022496
 0.3750	 	 	 	 	 0.076010
 0.4000	-0.000908	-0.001696	 0.004261	-0.024429	 0.106967
 0.4250	 	 	 	 	 0.103272
 0.4500	-0.000128	 0.030730	 0.001769	-0.072159	 0.066847
 0.4750	 	 	 	 	 0.009478
 0.5000	 0.001555	 0.028770	-0.002156	-0.079676	-0.035842
 0.5250	 	 	 	 	-0.051074
 0.5500	 0.001740	-0.021582	-0.005094	-0.033221	-0.022489
 0.5750	 	 	 	 	 0.050988
 0.6000	-0.000102	-0.038096	-0.004593	 0.053356	 0.120558
 0.6250	 	 	 	 	 0.162525
 0.6500	-0.000370	 0.028317	 0.000055	 0.123122	 0.137704
 0.6750	 	 	 	 	 0.046294
 0.7000	 0.001660	 0.025893	 0.005803	 0.092909	-0.036528
 0.7250	 	 	 	 	-0.069692
 0.7500	 0.000093	-0.076357	 0.007226	-0.039072	-0.026640
 0.7750	 	 	 	 	 0.059450
 0.8000	-0.002498	 0.002797	 0.001680	-0.167992	 0.075794
 0.8250	 	 	 	 	-0.036054
 0.8500	 0.000800	 0.085098	-0.006925	-0.148834	-0.181527
 0.8750	 	 	 	 	-0.254345
 0.9000	 0.000799	-0.088887	-0.009380	 0.062777	-0.163352
 0.9250	 	 	 	 	 0.086142
 0.9500	-0.003438	-0.011387	 0.000746	 0.322263	 0.233255
 0.9750	 	 	 	 	 0.209289
 1.0000	 0.008571	 0.359141	 0.023188	 0.510323	 0.099603


 -------- Mode No.  19  (freq = 0.39380E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.004839
 0.0500	-0.000278	-0.010048	 0.000100	 0.003663	 0.009421
 0.0750	 	 	 	 	 0.017198
 0.1000	-0.000940	-0.014835	 0.000327	 0.005148	 0.023671
 0.1250	 	 	 	 	 0.033684
 0.1500	-0.001469	-0.004687	 0.000551	 0.003455	 0.039663
 0.1750	 	 	 	 	 0.041200
 0.2000	-0.001226	 0.014007	 0.000628	-0.000685	 0.035958
 0.2250	 	 	 	 	-0.009231
 0.2500	-0.000186	 0.023720	 0.000430	-0.007665	-0.059472
 0.2750	 	 	 	 	-0.137459
 0.3000	 0.000554	 0.002838	-0.000126	-0.014263	-0.166868
 0.3250	 	 	 	 	-0.134709
 0.3500	-0.000028	-0.022594	-0.000826	-0.012287	-0.055172
 0.3750	 	 	 	 	 0.047429
 0.4000	-0.001024	-0.010842	-0.001110	 0.002066	 0.120132
 0.4250	 	 	 	 	 0.138738
 0.4500	-0.000474	 0.031210	-0.000540	 0.019792	 0.096899
 0.4750	 	 	 	 	 0.010714
 0.5000	 0.001421	 0.033106	 0.000599	 0.022976	-0.068587
 0.5250	 	 	 	 	-0.111174
 0.5500	 0.001374	-0.036221	 0.001320	 0.004778	-0.086947
 0.5750	 	 	 	 	 0.006457
 0.6000	-0.001452	-0.055042	 0.000955	-0.017171	 0.102022
 0.6250	 	 	 	 	 0.160233
 0.6500	-0.001417	 0.058525	-0.000115	-0.023599	 0.121104
 0.6750	 	 	 	 	-0.015533
 0.7000	 0.002655	 0.059555	-0.001120	-0.016590	-0.131303
 0.7250	 	 	 	 	-0.152671
 0.7500	 0.000801	-0.115666	-0.001523	 0.002503	-0.044287
 0.7750	 	 	 	 	 0.150425
 0.8000	-0.003383	-0.000446	-0.000537	 0.035771	 0.221908
 0.8250	 	 	 	 	 0.078957
 0.8500	 0.001716	 0.135054	 0.001508	 0.037519	-0.153570
 0.8750	 	 	 	 	-0.304511
 0.9000	 0.001628	-0.147045	 0.002145	-0.014598	-0.208680
 0.9250	 	 	 	 	 0.117524
 0.9500	-0.005741	-0.035813	-0.000170	-0.072703	 0.295188
 0.9750	 	 	 	 	 0.138323
 1.0000	 0.012305	 0.547938	-0.005166	-0.113326	-0.080089


 -------- Mode No.  20  (freq = 0.45583E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.005807
 0.0500	 0.000043	 0.001402	 0.000003	 0.000065	-0.011215
 0.0750	 	 	 	 	-0.020193
 0.1000	 0.000095	 0.000127	-0.000001	-0.000304	-0.027523
 0.1250	 	 	 	 	-0.039019
 0.1500	-0.000050	-0.006367	-0.000045	-0.001525	-0.046800
 0.1750	 	 	 	 	-0.052243
 0.2000	-0.000546	-0.013133	-0.000151	-0.002592	-0.053346
 0.2250	 	 	 	 	-0.047879
 0.2500	-0.001231	-0.012973	-0.000272	-0.001962	-0.043203
 0.2750	 	 	 	 	-0.048676
 0.3000	-0.001648	-0.003887	-0.000311	 0.000330	-0.074123
 0.3250	 	 	 	 	-0.117617
 0.3500	-0.001694	-0.000180	-0.000261	 0.001235	-0.159998
 0.3750	 	 	 	 	-0.188772
 0.4000	-0.001856	-0.006960	-0.000231	-0.000132	-0.190862
 0.4250	 	 	 	 	-0.170401
 0.4500	-0.002277	-0.007377	-0.000265	-0.000862	-0.144638
 0.4750	 	 	 	 	-0.128221
 0.5000	-0.002237	 0.009566	-0.000268	 0.000876	-0.133949
 0.5250	 	 	 	 	-0.160649
 0.5500	-0.001491	 0.015067	-0.000188	 0.001833	-0.188577
 0.5750	 	 	 	 	-0.202311
 0.6000	-0.001359	-0.009722	-0.000140	 0.000164	-0.184584
 0.6250	 	 	 	 	-0.133163
 0.6500	-0.001927	-0.002536	-0.000132	 0.000874	-0.087429
 0.6750	 	 	 	 	-0.063171
 0.7000	-0.000689	 0.045049	-0.000010	 0.003405	-0.069189
 0.7250	 	 	 	 	-0.073384
 0.7500	 0.000916	 0.008004	 0.000097	 0.000341	-0.031704
 0.7750	 	 	 	 	 0.084620
 0.8000	 0.000440	-0.006303	 0.000034	-0.001906	 0.190909
 0.8250	 	 	 	 	 0.250109
 0.8500	 0.001684	 0.044073	-0.000022	-0.000430	 0.206879
 0.8750	 	 	 	 	 0.111368
 0.9000	 0.001810	-0.054917	-0.000036	-0.000175	 0.062800
 0.9250	 	 	 	 	 0.054039
 0.9500	-0.002295	-0.065661	-0.000004	 0.001614	 0.004726
 0.9750	 	 	 	 	-0.344399
 1.0000	 0.000499	 0.112965	 0.000147	 0.003626	-0.540903
=================================================================================
